STATE,DISTRICT,URL_DISTRICT,STATE_CODE
UTTAR PRADESH,Pratapgarh,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=173,9
UTTAR PRADESH,PRAYAGRAJ,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=175,9
UTTAR PRADESH,Rae Bareli,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=158,9
UTTAR PRADESH,Rampur,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=136,9
UTTAR PRADESH,Saharanpur,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=132,9
UTTAR PRADESH,Sambhal,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=670,9
UTTAR PRADESH,Sant Kabir Nagar,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=186,9
UTTAR PRADESH,Shahjahanpur,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=152,9
UTTAR PRADESH,Shamli,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=666,9
UTTAR PRADESH,Shrawasti,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=181,9
UTTAR PRADESH,Siddharthnagar,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=184,9
UTTAR PRADESH,Sitapur,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=154,9
UTTAR PRADESH,Sonbhadra,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=200,9
UTTAR PRADESH,Sultanpur,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=179,9
UTTAR PRADESH,Unnao,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=156,9
UTTAR PRADESH,Varanasi,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=197,9
